id,name,gender
2178,Forest Whitaker,2
3026,Rob Reiner,2
1243,Woody Allen,2
5140,Wes Craven,2
68215,Reginald Hudlin,2
17883,David O. Russell,2
10723,Mike Newell,2
19303,Kevin Smith,2
25210,Jeremy Leven,2
8858,Ivan Reitman,2
5065,David Frankel,2
6495,Mira Nair,1
12962,Jon Turteltaub,2
3045,P.J. Hogan,2
24,Robert Zemeckis,2
56106,Charles Shyer,2
26713,Chuck Russell,2
5174,Barry Sonnenfeld,2
9248,Nora Ephron,0
15106,Thomas Schlamme,2
15810,Ron Clements,2
15811,John Musker,2
1201,Garry Marshall,2
24318,Richard Benjamin,2
4499,Tom Shadyac,2
12833,Edward Burns,2
32983,Douglas McGrath,2
4037,Ron Shelton,2
13284,Stanley Donen,2
13294,Gene Kelly,2
13980,Vincente Minnelli,2
1927,Blake Edwards,2
2662,Frank Capra,0
3146,Billy Wilder,0
10001,William Wyler,2
2428,Ernst Lubitsch,2
30165,Mark Sandrich,2
20412,Michael Anderson,2
11694,Doug Liman,2
6201,Baz Luhrmann,2
1524,Harold Ramis,2
648,Philip Kaufman,2
14911,Penny Marshall,1
37626,Patrice Leconte,2
56755,Patricia Birch,1
11649,Cameron Crowe,2
58463,Glenn Gordon Caron,2
7791,Peter Howitt,2
138,Quentin Tarantino,2
11218,Alfonso Cuarón,2
94155,Stefan Schwartz,2
57370,Frank Coraci,2
3388,James L. Brooks,2
55476,Nicholas Hytner,2
56714,Daisy von Scherler Mayer,1
13615,Harry Elfont,0
13614,Deborah Kaplan,1
1884,Steven Soderbergh,2
22461,Vincent Gallo,2
7395,Bobby Farrelly,2
7396,Peter Farrelly,2
32765,Tony Richardson,2
6159,Ron Howard,2
17167,Andy Tennant,2
2087,Richard Fleischer,0
11505,John Hughes,2
70777,Kevin Rodney Sullivan,2
5342,Mike Nichols,2
16294,Jonathan Demme,2
2163,Richard LaGravenese,2
15002,Dean Parisot,2
21819,Lewis Teague,2
1776,Francis Ford Coppola,2
64815,Robert Iscove,2
28904,Hugh Wilson,2
3191,Risa Bramon Garcia,1
18320,Bronwen Hughes,1
40243,Gil Junger,2
1215,Raja Gosnell,2
88060,Jeff Pollack,2
40439,David Moreton,0
7017,Roger Michell,2
56710,Oliver Parker,2
3288,Chris Weitz,0
3289,Paul Weitz,2
51866,Rick Famuyiwa,0
19228,Jim Fall,2
29009,Ken Kwapis,0
77076,Michael Corrente,2
79656,John Schultz,2
57383,Paul Brickman,2
143561,Sam Taylor,2
39819,Wayne Wang,0
3974,Miloš Forman,2
95818,Eric Blakeney,2
13848,Charlie Chaplin,2
65134,DJ Pooh,2
6729,Robert Benton,2
4759,David Kellogg,2
4081,Stanley Kramer,2
161858,David Raynr,0
11834,David Seltzer,2
3224,Stephen Frears,0
18854,Martin Ritt,2
5149,Bonnie Hunt,1
122944,Steve Gordon,2
71947,Gina Prince-Bythewood,1
13581,Brian Levant,2
34481,Matt Williams,2
11181,Kenneth Branagh,2
13426,Peter Segal,2
48980,David McNally,2
88967,Greg Berlanti,2
6737,Jay Roach,2
5306,Lasse Hallström,2
17698,Nancy Meyers,1
23393,Barbet Schroeder,2
54590,Steve Rash,2
62043,Michael Gottlieb,2
54050,Mark Waters,2
17494,Dennis Dugan,2
1704,Gore Verbinski,2
237884,Andrucha Waddington,0
50942,Gregory Poirier,2
9158,Sharon Maguire,1
66960,Dennie Gordon,1
36804,Peter Chelsom,2
2226,Sydney Pollack,2
52112,Steve Carr,2
8500,John Ford,0
4610,John Landis,2
13524,Christopher Guest,2
22669,Julien Temple,2
57434,Amy Heckerling,1
1213162,Todd Holland,0
7409,J.B. Rogers,0
53178,Mike Tollin,2
53177,Brian Robbins,2
8246,Barry Levinson,2
2419,Jean-Pierre Jeunet,2
108689,Laurice Guillen,1
5572,Joel Schumacher,2
113641,Dewey Nicks,0
57691,Tamra Davis,1
68573,Walt Becker,2
11873,Roger Kumble,2
54644,Joel Zwick,2
18356,Stephen Herek,2
7190,Tom Mankiewicz,2
66222,James Fargo,2
32593,Steven Brill,2
56539,Nicole Holofcener,1
17046,Gary Winick,2
61069,Miguel Arteta,2
67795,Steven Shainberg,2
4762,Paul Thomas Anderson,2
956,Guy Ritchie,2
83198,Allan Arkush,2
14995,Alan Myerson,2
80215,Charles Stone III,2
18323,Marc Lawrence,2
1461,George Clooney,2
58059,Chris Koch,2
18281,Donald Petrie,2
6220,Gurinder Chadha,1
66777,Bob Fosse,0
108217,Jerry Rees,0
59026,Peyton Reed,2
17520,Cédric Klapisch,2
14227,Jules Dassin,0
54584,Jesse Dylan,2
63713,Martha Coolidge,1
84047,Howard Storm,2
21217,Jonathan Lynn,2
6980,Émile Gaudreault,2
8482,Robert Mulligan,2
1223,Joel Coen,0
7018,Richard Curtis,2
27444,James Orr,2
1614,Ang Lee,2
18738,George Stevens,2
21305,Lloyd Bacon,2
21311,Wesley Ruggles,2
80307,Andy Cadiff,2
17871,John Hamburg,2
56381,James Toback,2
36797,Robert Luketic,2
69737,C. Jay Cox,2
4780,Wolfgang Becker,2
77269,John Crowley,2
987282,Glen Goei,2
73832,Jessy Terrero,0
3776,Jean-Luc Godard,2
5367,Zach Braff,2
42274,Nick Hurran,2
33315,Richard Loncraine,2
64151,Mike Mitchell,2
13235,Alexander Payne,0
20237,Beeban Kidron,1
47399,Frank Tashlin,2
21506,George Sidney,2
133259,Arthur Hiller,2
38774,Ray Lawrence,2
59023,Stewart Raffill,2
19450,Bob Rafelson,2
51600,Clare Kilner,1
62116,Bille Woodruff,0
7312,Angela Robinson,1
47773,Paul Mazursky,2
42994,David Dobkin,2
70738,Gary David Goldberg,2
4429,Jim Jarmusch,0
41039,Judd Apatow,2
35771,Aditya Chopra,0
1045480,Meiert Avis,0
26481,Anand Tucker,2
49555,Petter Næss,0
80602,Tyler Perry,2
58375,Andy Fickman,2
1223175,Elizabeth Allen Rosenbaum,1
309,Pedro Almodóvar,2
239261,Matthew Cole Weiss,2
19271,Anthony Russo,2
19272,Joe Russo,2
12995,Marc Forster,2
4590,Russ Meyer,0
57130,Todd Phillips,2
47364,Greg Coolidge,2
17114,John Cameron Mitchell,2
578,Ridley Scott,2
40440,Todd Stephens,2
6340,Susannah Grant,1
56717,Tom Vaughan,2
2632,Chris Rock,2
30368,Jon Kasdan,2
20739,Adam Shankman,2
64754,Andrew Currie,2
21053,John Dahl,2
72205,Shari Springer Berman,1
72206,Robert Pulcini,2
122582,Jake Paltrow,2
3290,Peter Hedges,2
50767,Craig Gillespie,0
15775,Kevin Lima,2
8311,Farah Khan,1
52443,Jason Reitman,2
85916,Oren Rudavsky,0
29214,Anne Fletcher,1
14409,David Schwimmer,2
71527,Marco Schnabel,2
27992,Brian Yuzna,2
78914,Noam Murro,0
52934,Nicholas Stoller,2
33317,David Leland,2
66548,Paul Weiland,2
65377,Bernie Goldmann,0
74342,Melisa Wallack,0
38023,Michael Patrick King,2
71068,Phyllida Lloyd,1
66563,Fred Wolf,2
76230,Diane English,1
74159,Robert B. Weide,0
71548,Peter Sollett,2
26502,Howard Deutch,2
74619,Sean Anders,2
71600,Seth Gordon,2
39,Sam Mendes,2
19242,Tony Gilroy,2
99346,Stephen Roberts,2
67367,Rian Johnson,2
87742,Marc Webb,2
10965,Chris Columbus,2
54713,Nicholas Jasenovec,2
95024,Bobcat Goldthwait,2
17835,Ricky Gervais,2
1551346,Matthew Robinson,0
12708,Peter Billingsley,2
71276,Imtiaz Ali,2
524,Natalie Portman,1
2245,Yvan Attal,2
5125,Fatih Akin,2
5872,Joshua Marston,0
11448,Allen Hughes,2
15435,Randall Balsmeyer,2
11091,Brett Ratner,2
37630,Shekhar Kapur,2
55785,Shunji Iwai,2
77301,Jiang Wen,0
564,Richard Linklater,2
85675,Rajkumar Hirani,0
135890,Susan Buice,0
135891,Arin Crumley,0
56411,Glenn Ficarra,2
56412,John Requa,0
111686,Jim Field Smith,2
113225,Alan Poul,2
16304,Brian Koppelman,2
16305,David Levien,2
78053,Edwin L. Marin,2
60922,Josh Gordon,2
60923,Will Speck,2
96439,Nanette Burstein,1
942251,Rachel Perkins,1
8392,Pascal Chaumeil,2
53276,Galt Niederhoffer,1
9181,Edward Zwick,2
139135,Lena Dunham,1
576537,Angel Gracia,2
39012,Peter Bogdanovich,2
71280,Michael Dowse,2
78562,Phil Traill,2
141675,Jason Winer,2
65734,Luke Greenfield,2
116805,Paul Feig,2
133406,Dan Rush,2
17439,Mike Mills,2
31,Tom Hanks,2
56789,Thomas Bezucha,2
82511,Will Gluck,2
72197,Ferzan Ozpetek,2
35318,Ken Annakin,2
67717,Michel Hazanavicius,2
91552,S. Shankar,2
57199,Mark Mylod,2
36425,McG,2
20400,Tim Story,2
5655,Wes Anderson,2
930707,Colin Trevorrow,2
64045,Kirk Jones,0
71551,Lorene Scafaria,1
20212,Dermot Mulroney,2
51298,Dax Shepard,2
140372,David Palmer,2
217587,Leslye Headland,0
168667,Jason Moore,2
168330,Ben Lewin,2
232898,Frédéric Jardin,0
225208,Keith Bearden,2
119819,Anurag Basu,2
56661,Jonathan Levine,2
20646,Gabriele Muccino,2
4483,Dustin Hoffman,2
110879,Roko Belic,0
1011,Susanne Bier,1
1183611,Robert Taleghany,0
35959,James Huth,2
225680,Roman Karimov,0
930710,James Ponsoldt,0
1375378,David Ray,0
86783,Rohit Shetty,0
114004,Noah Buschel,0
954103,Henry Pincus,2
57408,Jerusha Hess,2
1088647,Maggie Carey,0
105446,Indra Kumar,2
24045,Joseph Gordon-Levitt,2
3227,Steve Pink,2
1211000,Tom Gormican,0
41549,Andrew Fleming,2
11151,Nick Cassavetes,2
45117,John Carney,2
1174924,Adam Rogers,0
17884,Jeff Baena,2
21960,Israel Horovitz,2
1265056,Jorge R. Gutierrez,0
74887,Christophe Van Rompaey,0
1139243,Kim Kwang-sik,2
56097,Alki David,2
82394,John Kaye,2
23630,Jeff Anderson,2
84437,Gabriela Tagliavini,1
932715,Jay DiPietro,2
991868,Ari Sandel,0
42092,Benedikt Erlingsson,2
106491,Mark Griffiths,2
1382199,Cathryn Michon,0
122423,Yorgos Lanthimos,2
35736,Karan Johar,2
87378,Ayan Mukherjee,0
127787,Ali Zafar,2
591123,Anand L Rai,0
85445,Rohan Sippy,0
1123763,Karthik Subbaraj,2
14773,Don Siegel,2
48583,Anne Fontaine,1
67361,Marius Balchunas,2
83189,Paolo Virzì,2
1019303,Duke Johnson,2
202,Charlie Kaufman,2
102237,Homi Adajania,0
1296662,Jude Anthany Joseph,0
120953,Gautham Vasudev Menon,2
182174,Lal,2
230008,Siddique,2
35770,Yash Chopra,2
1171340,Alphonse Putharen,2
63820,Christian Ditter,2
1110102,Michael Tiddes,0
58552,Burr Steers,0
35785,Siddharth Anand,2
37239,Abbas Tyrewala,0
146975,Tarun Mansukhani,0
85801,Anees Bazmee,2
80630,Martin Koolhoven,0
57607,Stephen Chow,2
110701,K. V. Anand,0
22215,Michael Showalter,2
79279,Paco Cabezas,2
78188,Whit Stillman,2
1133446,Siva,2
35086,Sajid Nadiadwala,0
11154,Matt Ross,2
125570,Xue Xiaolu,0
1383612,Dan Kwan,0
1317730,Daniel Scheinert,0
35805,Aziz Mirza,2
1673599,Tharun Bhascker Dhaassyam,0
136495,Damien Chazelle,2
6449,Warren Beatty,2
1699011,Ganesh Raj,0
1176,Lone Scherfig,1
1304659,Arman Gevorgyan,0
1442719,Maksim Voronkov,0
235787,Evgeniy Bedarev,0
23430,Timur Bekmambetov,2
226704,Natalya Uglitskikh,0
94756,Joona Tena,0
